GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH1OE001,AH1OE002,AH1OE003,AH1OE004,AH1OE005,AH1OE006,AH1OE007,AH1OE008,AH1OE009,AH1OE010,AH1OE011,AH1OE012,AH1OE013,AH1OE014,AH1OE015,AH1OE016,AH1OE017,NAME_M,AH1OM001,AH1OM002,AH1OM003,AH1OM004,AH1OM005,AH1OM006,AH1OM007,AH1OM008,AH1OM009,AH1OM010,AH1OM011,AH1OM012,AH1OM013,AH1OM014,AH1OM015,AH1OM016,AH1OM017
"G12000100002001","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Alachua County, Florida",124,17,0,22,0,13,16,0,0,0,0,19,0,0,15,22,0,"Block Group 1, Census Tract 2, Alachua County, Florida",78,27,13,34,13,23,28,13,13,13,13,34,13,13,23,32,13
"G12000100002002","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Alachua County, Florida",631,171,45,107,15,18,17,0,0,18,72,114,14,19,21,0,0,"Block Group 2, Census Tract 2, Alachua County, Florida",179,126,53,94,26,28,29,13,13,34,68,97,26,32,37,13,13
"G12000100002003","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2, Alachua County, Florida",321,35,21,54,65,17,50,0,0,0,65,14,0,0,0,0,0,"Block Group 3, Census Tract 2, Alachua County, Florida",130,34,31,86,66,27,55,13,13,13,82,23,13,13,13,13,13
"G12000100002004","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2, Alachua County, Florida",235,36,103,0,57,0,0,18,0,0,0,0,0,21,0,0,0,"Block Group 4, Census Tract 2, Alachua County, Florida",150,36,97,13,92,13,13,30,13,13,13,13,13,34,13,13,13
"G12000100002005","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 2, Alachua County, Florida",310,213,15,31,0,18,16,17,0,0,0,0,0,0,0,0,0,"Block Group 5, Census Tract 2, Alachua County, Florida",121,118,24,36,13,28,25,28,13,13,13,13,13,13,13,13,13
"G12000100002006","2013-2017",,,"Florida","12","Alachua County","001",,,"000200","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 2, Alachua County, Florida",743,354,83,0,17,193,26,14,16,0,6,0,19,0,15,0,0,"Block Group 6, Census Tract 2, Alachua County, Florida",221,165,89,13,26,158,29,22,27,13,10,13,31,13,25,13,13
"G12000100003011","2013-2017",,,"Florida","12","Alachua County","001",,,"000301","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3.01, Alachua County, Florida",939,165,110,26,50,35,117,49,43,86,82,17,102,11,30,9,7,"Block Group 1, Census Tract 3.01, Alachua County, Florida",139,87,89,28,54,28,83,41,46,50,56,19,74,18,34,16,12
"G12000100003012","2013-2017",,,"Florida","12","Alachua County","001",,,"000301","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3.01, Alachua County, Florida",812,261,68,16,57,31,23,80,64,11,33,110,26,0,0,23,9,"Block Group 2, Census Tract 3.01, Alachua County, Florida",156,125,32,19,38,29,21,72,56,17,31,65,26,13,13,23,15
"G12000100003021","2013-2017",,,"Florida","12","Alachua County","001",,,"000302","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3.02, Alachua County, Florida",171,8,27,5,11,11,12,20,27,8,6,11,15,10,0,0,0,"Block Group 1, Census Tract 3.02, Alachua County, Florida",62,15,40,9,17,20,13,21,43,14,10,16,21,16,13,13,13
"G12000100003022","2013-2017",,,"Florida","12","Alachua County","001",,,"000302","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3.02, Alachua County, Florida",434,83,67,52,106,70,7,0,0,0,21,0,0,11,0,8,9,"Block Group 2, Census Tract 3.02, Alachua County, Florida",99,64,55,42,49,68,11,13,13,13,23,13,13,16,13,14,14
"G12000100003023","2013-2017",,,"Florida","12","Alachua County","001",,,"000302","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3.02, Alachua County, Florida",496,33,16,8,91,8,33,20,0,31,28,97,64,29,23,15,0,"Block Group 3, Census Tract 3.02, Alachua County, Florida",93,40,21,11,52,13,25,18,13,24,28,54,37,31,35,20,13
"G12000100004001","2013-2017",,,"Florida","12","Alachua County","001",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4, Alachua County, Florida",463,143,74,97,58,31,19,0,0,24,0,0,0,0,0,0,17,"Block Group 1, Census Tract 4, Alachua County, Florida",109,110,79,100,80,39,27,13,13,30,13,13,13,13,13,13,30
"G12000100004002","2013-2017",,,"Florida","12","Alachua County","001",,,"000400","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4, Alachua County, Florida",559,11,49,0,65,67,12,0,30,51,46,86,25,95,0,0,22,"Block Group 2, Census Tract 4, Alachua County, Florida",134,18,77,13,54,60,22,13,35,58,43,92,40,99,13,13,37
"G12000100004003","2013-2017",,,"Florida","12","Alachua County","001",,,"000400","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4, Alachua County, Florida",455,89,48,0,48,14,29,29,0,13,48,29,54,54,0,0,0,"Block Group 3, Census Tract 4, Alachua County, Florida",101,65,51,13,40,26,42,32,13,24,49,36,43,49,13,13,13
"G12000100004004","2013-2017",,,"Florida","12","Alachua County","001",,,"000400","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4, Alachua County, Florida",650,20,58,114,12,43,30,107,87,22,26,69,62,0,0,0,0,"Block Group 4, Census Tract 4, Alachua County, Florida",153,32,48,87,19,44,37,68,79,29,33,89,49,13,13,13,13
"G12000100005001","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5, Alachua County, Florida",924,291,97,47,13,65,12,30,56,12,113,0,26,51,0,45,66,"Block Group 1, Census Tract 5, Alachua County, Florida",159,139,74,73,21,57,19,26,47,19,95,13,41,51,13,43,78
"G12000100005002","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5, Alachua County, Florida",312,29,0,48,34,15,42,0,25,12,32,12,63,0,0,0,0,"Block Group 2, Census Tract 5, Alachua County, Florida",92,42,13,49,42,23,32,13,41,19,39,19,73,13,13,13,13
"G12000100005003","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 5, Alachua County, Florida",470,20,0,0,37,29,61,22,13,0,39,29,82,60,23,0,55,"Block Group 3, Census Tract 5, Alachua County, Florida",98,32,13,13,61,34,46,35,20,13,49,32,56,73,37,13,59
"G12000100005004","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 5, Alachua County, Florida",592,230,19,0,85,24,39,0,11,0,27,25,116,0,16,0,0,"Block Group 4, Census Tract 5, Alachua County, Florida",157,139,31,13,43,30,37,13,18,13,42,31,117,13,25,13,13
"G12000100005005","2013-2017",,,"Florida","12","Alachua County","001",,,"000500","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 5, Alachua County, Florida",351,0,0,19,42,13,32,0,0,12,48,24,43,49,0,13,56,"Block Group 5, Census Tract 5, Alachua County, Florida",88,13,13,33,27,19,31,13,13,20,44,29,52,47,13,22,58
"G12000100006001","2013-2017",,,"Florida","12","Alachua County","001",,,"000600","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 6, Alachua County, Florida",451,94,23,13,52,8,0,19,12,37,49,17,100,0,10,17,0,"Block Group 1, Census Tract 6, Alachua County, Florida",94,58,24,20,41,13,13,20,18,28,42,17,52,13,16,26,13
"G12000100006002","2013-2017",,,"Florida","12","Alachua County","001",,,"000600","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 6, Alachua County, Florida",254,64,18,20,9,40,57,0,38,0,0,8,0,0,0,0,0,"Block Group 2, Census Tract 6, Alachua County, Florida",82,50,25,23,14,39,53,13,33,13,13,14,13,13,13,13,13
"G12000100006003","2013-2017",,,"Florida","12","Alachua County","001",,,"000600","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 6, Alachua County, Florida",828,153,43,78,127,55,77,45,45,20,118,54,13,0,0,0,0,"Block Group 3, Census Tract 6, Alachua County, Florida",119,75,32,54,60,46,46,36,39,21,70,46,17,13,13,13,13
